TreeID,date,Species_Co,Common_Nam,Genus,Species,percent_lichen,Melanelixia_glabratula,Candelariella_reflexa,Flavoparmelia_caperata,Xanthomendoza_fallax,moth_presence
937,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
938,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
939,24-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
948,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,30,1,0,1,0,0
950,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,2,0,0,1,0,0
954,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,2,0,0,1,0,0
956,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,1,0,0,1,0,0
959,30-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,10,0,1,1,0,0
1054,28-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
1055,28-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1056,28-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1058,28-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1059,28-12-2020,peapea,Flowering Pear,Pyrus,spp,0,0,0,0,0,0
1060,28-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,1
1061,28-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1097,26-12-2020,peapea,Flowering Pear,Pyrus,spp,30,1,0,0,1,0
1099,26-12-2020,peapea,Flowering Pear,Pyrus,spp,20,0,0,1,1,0
1118,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,0,0,0,0,0,0
1120,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,0,0,0,0,0,0
1134,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,0,0,0,0,0,0
1135,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,0,0,0,0,0,0
1178,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,20,0,1,0,0,0
1191,28-12-2020,oakred,Red Oak,Quercus,rubra,1,0,0,1,0,0
1191,24-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1193,28-12-2020,oakred,Red Oak,Quercus,rubra,1,0,0,1,0,0
1195,28-12-2020,oakred,Red Oak,Quercus,rubra,5,1,0,1,0,0
1216,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,5,0,1,1,0,0
1218,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1219,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1220,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1221,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1227,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1228,28-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1229,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,20,0,1,1,1,0
1229,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1233,30-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1248,30-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1257,26-12-2020,lochon,Honey Locust,Gleditsia,triacanthos,5,0,1,1,0,0
1257,30-12-2020,sersmo,Smooth Serviceberry,Amelanchier,laevis,0,0,0,0,0,0
1258,26-12-2020,oakred,Red Oak,Quercus,rubra,10,0,1,1,0,0
1259,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1260,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1261,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1262,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1263,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1264,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1265,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1266,24-12-2020,peapea,Flowering Pear,Pyrus,spp,5,1,0,0,0,0
1266,30-12-2020,mapred,Red Maple,Acer,rubrum,0,0,0,0,0,0
1268,24-12-2020,peapea,Flowering Pear,Pyrus,spp,5,1,0,0,0,0
1270,30-12-2020,ginkgo,Ginkgo,Ginkgo,biloba,0,0,0,0,0,0
1271,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1272,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1272,30-12-2020,sersmo,Smooth Serviceberry,Amelanchier,laevis,0,0,0,0,0,0
1275,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1276,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1283,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1284,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1304,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1307,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1307,26-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
1308,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1310,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1310,26-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
1311,26-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
1312,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1314,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1314,26-12-2020,lochon,Honey Locust,Gleditsia,tricanthos,0,0,0,0,0,0
1316,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1316,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1317,24-12-2020,appcra,Crab Apple,Malus,spp,0,0,0,0,0,0
1317,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
1318,26-12-2020,oakred,Red Oak,Quercus,rubra,1,0,0,1,0,0
1319,26-12-2020,oakred,Red Oak,Quercus,rubra,0,0,0,0,0,0
